rank,spanish,english,form,infinitive
627,formas,forms,noun,
628,única,unique/only,adjective,
629,pueda,he/she may be able,verb,poder
630,origen,origin,noun,
631,blanco,white,adjective,
632,mismos,same,adjective,
633,lleva,he/she carries,verb,llevar
634,económico,economic,adjective,
635,opinión,opinion,noun,
636,ayuda,help,noun,
637,oficial,official,adjective,
638,silencio,silence,noun,
639,buenos,good,adjective,
640,pensar,to think,verb,pensar
641,república,republic,noun,
642,dónde,where,adverb,
643,sangre,blood,noun,
644,encuentro,meeting,noun,
645,siquiera,even,adverb,
646,autor,author,noun,
647,reunión,meeting,noun,
648,haciendo,doing/making,verb,hacer
649,suelo,floor/ground,noun,
650,muestra,sample,noun,
651,viejo,old,adjective,
652,encima,on top,adverb,
653,resulta,it turns out,verb,resultar
654,tomar,to take,verb,tomar
655,bastante,enough/quite,adverb,
656,siete,seven,noun,
657,lucha,fight/struggle,noun,
658,pudo,he/she could,verb,poder
659,amigos,friends,noun,
660,línea,line,noun,
661,sur,south,noun,
662,pocos,few,adjective,
663,medidas,measures,noun,
664,norte,north,noun,
665,partes,parts,noun,
666,iglesia,church,noun,
667,tratamiento,treatment,noun,
668,existencia,existence,noun,
669,cargo,position/charge,noun,
670,grande,big,adjective,
671,américa,America,noun,
672,boca,mouth,noun,
673,plaza,square/plaza,noun,
674,pie,foot,noun,
675,trabajadores,workers,noun,
676,poner,to put,verb,poner
677,existen,they exist,verb,existir
678,viene,he/she comes,verb,venir
679,permite,he/she allows,verb,permitir
680,análisis,analysis,noun,
681,argentina,Argentina,noun,
682,acto,act,noun,
683,hechos,facts,noun,
684,tiempos,times,noun,
685,políticas,policies,noun,
686,radio,radio,noun,
687,puedo,I can,verb,poder
688,crecimiento,growth,noun,
689,francia,France,noun,
690,compañía,company,noun,
691,amigo,friend,noun,
692,autoridades,authorities,noun,
693,realizar,to carry out,verb,realizar
694,acciones,actions,noun,
695,padres,parents,noun,
696,diario,daily/newspaper,noun,
697,ve,he/she sees,verb,ver
698,derecha,right,noun,
699,ambiente,environment,noun,
700,i,I,noun,
701,habrá,there will be,verb,haber
702,precisamente,precisely,adverb,
703,enfermedad,disease,noun,
704,especie,species,noun,
705,ejército,army,noun,
706,santa,saint/holy,adjective,
707,cambios,changes,noun,
708,río,river,noun,
709,sabía,he/she knew,verb,saber
710,seguro,sure/safe,adjective,
711,espera,he/she waits,verb,esperar
712,momentos,moments,noun,
713,viaje,trip,noun,
714,quería,he/she wanted,verb,querer
715,ocho,eight,noun,
716,vivir,to live,verb,vivir
717,región,region,noun,
718,formación,formation/training,noun,
719,escuela,school,noun,
720,cuarto,fourth/room,noun,
721,valores,values,noun,
722,quedó,he/she stayed,verb,quedar
723,participación,participation,noun,
724,éxito,success,noun,
725,baja,low,adjective,
726,artículo,article,noun,
727,principales,main,adjective,
728,fernando,Fernando,noun,
729,metros,meters,noun,
730,marcha,march,noun,
731,régimen,regime,noun,
732,consecuencia,consequence,noun,
733,conocimiento,knowledge,noun,
734,corazón,heart,noun,
735,campaña,campaign,noun,
736,estructura,structure,noun,
737,efectos,effects,noun,
738,finalmente,finally,adverb,
739,modelo,model,noun,
740,carta,letter,noun,
741,construcción,construction,noun,
742,médico,doctor,noun,
743,miedo,fear,noun,
744,mayores,older/greater,adjective,
745,entrada,entrance,noun,
746,humanos,humans,noun,
747,sean,they may be,verb,ser
748,actitud,attitude,noun,
749,deja,he/she leaves,verb,dejar
750,dejó,he/she left,verb,dejar
751,d,D,noun,
752,llevar,to carry,verb,llevar
753,negro,black,adjective,
754,texto,text,noun,
755,mitad,half,noun,
756,estuvo,he/she was,verb,estar
757,alrededor,around,adverb,
758,acerca,about,preposition,
759,peso,weight,noun,
760,humano,human,adjective,
761,pequeño,small,adjective,
762,fecha,date,noun,
763,serán,they will be,verb,ser
764,doctor,doctor,noun,
765,ideas,ideas,noun,
766,vino,wine,noun,
767,materia,matter/subject,noun,
768,llega,he/she arrives,verb,llegar
769,carrera,career/race,noun,
770,cierta,certain,adjective,
771,sola,alone,adjective,
772,psoe,PSOE,noun,
773,lejos,far,adverb,
774,juez,judge,noun,
775,características,characteristics,noun,
776,riesgo,risk,noun,
777,fácil,easy,adjective,
778,diferencia,difference,noun,
779,cultural,cultural,adjective,
780,libros,books,noun,
781,práctica,practice,noun,
782,mayo,May,noun,
783,nuestras,our,adjective,
784,programas,programs,noun,
785,memoria,memory,noun,
786,llegado,arrived,verb,llegar
787,plazo,term/deadline,noun,
788,expresión,expression,noun,
789,diciembre,December,noun,
790,mantener,to maintain,verb,mantener
791,enero,January,noun,
792,volver,to return,verb,volver
793,cuadro,picture/frame,noun,
794,producto,product,noun,
795,produce,he/she produces,verb,producir
796,europea,European,adjective,
797,conciencia,conscience,noun,
798,tenían,they had,verb,tener
799,atrás,back/behind,adverb,
800,felipe,Felipe,noun,
801,creación,creation,noun,
802,chile,Chile,noun,
803,precio,price,noun,
804,película,film,noun,
805,puerto,port,noun,
806,fuego,fire,noun,
807,cuestión,question/issue,noun,
808,pasó,he/she passed,verb,pasar
809,costa,coast,noun,
810,supuesto,supposed,adjective,
811,local,local,adjective,
812,habla,he/she speaks,verb,hablar
813,aspectos,aspects,noun,
814,cuba,Cuba,noun,
815,sala,room/hall,noun,
816,cámara,chamber/camera,noun,
817,vuelta,return/turn,noun,
818,vía,way/route,noun,
819,mirada,look/gaze,noun,
820,mejores,better,adjective,
821,informe,report,noun,
822,unidad,unit,noun,
823,distintos,different,adjective,
824,suerte,luck,noun,
825,tales,such,adjective,
826,mira,he/she looks,verb,mirar
827,llamado,called,verb,llamar
828,técnica,technique,noun,
829,título,title,noun,
830,s,S,noun,
831,principios,principles,noun,
832,octubre,October,noun,
833,volvió,he/she returned,verb,volver
834,período,period,noun,
835,g,G,noun,
836,encontrar,to find,verb,encontrar
837,democracia,democracy,noun,
838,aumento,increase,noun,
839,fútbol,football/soccer,noun,
840,prueba,proof/test,noun,
841,consumo,consumption,noun,
842,pese,despite,preposition,
843,ocasiones,occasions,noun,
844,exterior,exterior,adjective,
845,solución,solution,noun,
846,u,U,noun,
847,hija,daughter,noun,
848,sueño,dream,noun,
849,parís,Paris,noun,
850,capaz,capable,adjective,
851,ocasión,occasion,noun,
852,industria,industry,noun,
853,adelante,forward,adverb,
854,salida,exit,noun,
855,ciencia,science,noun,
856,asunto,matter/affair,noun,
857,asociación,association,noun,
858,puso,he/she put,verb,poner
859,intereses,interests,noun,
860,oro,gold,noun,
861,podrá,he/she will be able,verb,poder
862,pregunta,question,noun,
863,oposición,opposition,noun,
864,entrar,to enter,verb,entrar
865,señora,lady/Mrs.,noun,
866,señaló,he/she pointed out,verb,señalar
867,santiago,Santiago,noun,
868,dolor,pain,noun,
869,zonas,zones,noun,
870,comercio,commerce/trade,noun,
871,operación,operation,noun,
872,tribunal,court,noun,
873,instituciones,institutions,noun,
874,temas,topics,noun,
875,militares,military,adjective,
876,junio,June,noun,
877,marco,frame/framework,noun,
878,sectores,sectors,noun,
879,hacerlo,to do it,verb,hacer
880,aspecto,aspect,noun,
881,razones,reasons,noun,
882,contenido,content,noun,
883,juicio,trial/judgment,noun,
884,electoral,electoral,adjective,
885,considera,he/she considers,verb,considerar
886,tendrá,he/she will have,verb,tener
887,mucha,much,adjective,
888,voluntad,will,noun,
889,dicen,they say,verb,decir
890,recuerdo,memory,noun,
891,socialista,socialist,adjective,
892,área,area,noun,
893,aparece,he/she appears,verb,aparecer
894,vio,he/she saw,verb,ver
895,cama,bed,noun,
896,aun,even,adverb,
897,presenta,he/she presents,verb,presentar
898,pp,PP,noun,
899,revolución,revolution,noun,
900,busca,he/she searches,verb,buscar
901,abril,April,noun,
902,rodríguez,Rodriguez,noun,
903,fiscal,fiscal/prosecutor,noun,
904,lópez,Lopez,noun,
905,victoria,victory,noun,
906,violencia,violence,noun,
907,primeras,first,adjective,
908,pequeña,small,adjective,
909,armas,weapons,noun,
910,debía,he/she should,verb,deber
911,ii,II,noun,
912,esfuerzo,effort,noun,
913,humana,human,adjective,
914,posibilidades,possibilities,noun,
915,centros,centers,noun,
916,profesional,professional,adjective,
917,asimismo,likewise,adverb,
918,grado,degree,noun,
919,has,you have,verb,haber
920,toma,he/she takes,verb,tomar
921,distintas,different,adjective,
922,material,material,noun,
923,carne,meat,noun,
924,llama,he/she calls,verb,llamar
925,particular,particular,adjective,
926,jorge,Jorge,noun,
927,trabajar,to work,verb,trabajar
928,propuesta,proposal,noun,
929,muerto,dead,adjective,
930,precios,prices,noun,
931,reforma,reform,noun,
932,hermano,brother,noun,
933,corte,court/cut,noun,
934,comenzó,he/she began,verb,comenzar
935,etapa,stage,noun,
936,obstante,notwithstanding,adverb,
937,pone,he/she puts,verb,poner
938,diversos,diverse,adjective,
939,visita,visit,noun,
940,concepto,concept,noun,
941,pacientes,patients,noun,
942,semanas,weeks,noun,
943,tipos,types,noun,
944,solamente,only,adverb,
945,deseo,desire,noun,
946,sistemas,systems,noun,
947,encuentran,they find,verb,encontrar
948,siguientes,following,adjective,
949,martín,Martin,noun,
950,suficiente,sufficient,adjective,
951,marzo,March,noun,
952,varios,several,adjective,
953,jamás,never,adverb,
954,dan,they give,verb,dar
955,club,club,noun,
956,instituto,institute,noun,
957,constitución,constitution,noun,
958,curso,course,noun,
959,lenguaje,language,noun,
960,estilo,style,noun,
961,rosa,pink/rose,noun,
962,imposible,impossible,adjective,
963,pablo,Pablo,noun,
964,buscar,to search,verb,buscar
965,peor,worse,adjective,
966,piel,skin,noun,
967,arriba,up/above,adverb,
968,generales,general,adjective,
969,septiembre,September,noun,
970,blanca,white,adjective,
971,r,R,noun,
972,aquellas,those,pronoun,
973,teoría,theory,noun,
974,animales,animals,noun,
975,hicieron,they did/made,verb,hacer
976,larga,long,adjective,
977,perdido,lost,verb,perder
978,imágenes,images,noun,
979,paciente,patient,noun,
980,conseguir,to get/achieve,verb,conseguir
981,máximo,maximum,adjective,
982,noviembre,November,noun,
983,j,J,noun,
984,líder,leader,noun,
985,hospital,hospital,noun,
986,diversas,diverse,adjective,
987,rafael,Rafael,noun,
988,vuelve,he/she returns,verb,volver
989,destino,destiny,noun,
990,torno,around,noun,
991,proyectos,projects,noun,
992,flores,flowers,noun,
993,niveles,levels,noun,
994,afirmó,he/she affirmed,verb,afirmar
995,explicó,he/she explained,verb,explicar
996,n,N,noun,
997,somos,we are,verb,ser
998,términos,terms,noun,
999,premio,prize,noun,
1000,tercera,third,adjective,
1001,simple,simple,adjective,
1002,trabajos,jobs,noun,
1003,factores,factors,noun,
1004,fuente,source,noun,
1005,cielo,sky,noun,
1006,ambas,both,adjective,
1007,mismas,same,adjective,
1008,fernández,Fernandez,noun,
1009,actualmente,currently,adverb,
1010,conocido,known,adjective,
1011,condición,condition,noun,
1012,ejercicio,exercise,noun,
1013,cree,he/she believes,verb,creer
1014,par,pair,noun,
1015,ocurre,it occurs,verb,ocurrir
1016,ti,you,pronoun,
1017,espíritu,spirit,noun,
1018,lengua,language,noun,
1019,responsabilidad,responsibility,noun,
1020,digo,I say,verb,decir
1021,pérez,Perez,noun,
1022,distancia,distance,noun,
1023,organismo,organism,noun,
1024,cruz,cross,noun,
1025,evolución,evolution,noun,
1026,realmente,really,adverb,
1027,alberto,Alberto,noun,
1028,francés,French,adjective,
1029,novela,novel,noun,
1030,alma,soul,noun,
1031,doble,double,adjective,
1032,anteriores,previous,adjective,
1033,obtener,to obtain,verb,obtener
1034,dije,I said,verb,decir
1035,selección,selection,noun,
